Student ID,student_name,gender,grade,school_name,reading_score,math_score
7676,Jason Cantu,M,11th,Hernandez High School,99,66
7679,Kelly Morales,F,9th,Hernandez High School,99,76
7708,Colleen Flores,F,11th,Hernandez High School,99,88
7729,Patrick Hill,M,12th,Hernandez High School,99,75
7792,Heather Morales,F,11th,Hernandez High School,99,64
7808,Nicole Banks,F,11th,Hernandez High School,99,80
7838,Bradley Brown,M,11th,Hernandez High School,99,59
7849,Sarah Stevens,F,11th,Hernandez High School,99,74
7884,Stephanie Coleman,F,12th,Hernandez High School,99,62
7955,Jennifer Morris,F,9th,Hernandez High School,99,99
7976,Rachel Blankenship,F,12th,Hernandez High School,99,78
7985,Kyle Bennett,M,9th,Hernandez High School,99,59
7987,Matthew Anthony MD,M,11th,Hernandez High School,99,73
8086,Juan Gallegos,M,12th,Hernandez High School,99,73
8103,Vanessa Garcia,F,9th,Hernandez High School,99,61
8152,Sarah Reed,F,12th,Hernandez High School,99,74
8241,Dalton Wiggins,M,12th,Hernandez High School,99,59
8249,Dr. Jessica Fowler MD,F,10th,Hernandez High School,99,87
8254,Amy Garcia,F,9th,Hernandez High School,99,99
8300,Joshua Vasquez,M,9th,Hernandez High School,99,59
8336,Aaron Boyer,M,9th,Hernandez High School,99,83
8354,Tracey Thomas,F,12th,Hernandez High School,99,68
8437,Samantha Lara,F,9th,Hernandez High School,99,61
8469,Donald Brown,M,9th,Hernandez High School,99,82
8536,Ashley Fox,F,10th,Hernandez High School,99,66
8546,Tammy Salas,F,9th,Hernandez High School,99,63
8552,Justin Simpson,M,9th,Hernandez High School,99,97
8558,Phillip Howe,M,10th,Hernandez High School,99,69
8602,Michael Pineda,M,10th,Hernandez High School,99,76
8604,Anthony Curtis,M,9th,Hernandez High School,99,70
8611,Mark Le,M,9th,Hernandez High School,99,92
8621,Elizabeth Rodriguez,F,11th,Hernandez High School,99,65
8651,David Roth,M,9th,Hernandez High School,99,99
8669,Kelsey Cole,F,9th,Hernandez High School,99,68
8679,Jessica Mcconnell,F,10th,Hernandez High School,99,96
8698,Anthony Marshall,M,11th,Hernandez High School,99,81
8736,Jessica Fleming,F,10th,Hernandez High School,99,76
8764,Renee Pierce,F,12th,Hernandez High School,99,63
8868,Sarah Lawson,F,10th,Hernandez High School,99,71
8885,Matthew Williams,M,11th,Hernandez High School,99,62
8914,Kevin Ramos,M,9th,Hernandez High School,99,80
8934,Shannon Leon,F,9th,Hernandez High School,99,57
8937,Dr. Russell Gallegos,M,10th,Hernandez High School,99,92
8946,Anthony Kline,M,10th,Hernandez High School,99,82
8948,Andrea Davenport,F,11th,Hernandez High School,99,74
9015,Joel Richardson,M,11th,Hernandez High School,99,64
9034,Mark Hood,M,12th,Hernandez High School,99,79
9057,Kerry Singh,M,9th,Hernandez High School,99,64
9136,Kevin Faulkner,M,10th,Hernandez High School,99,80
9155,Christopher Cortez,M,11th,Hernandez High School,99,94
9169,Joseph Norman,M,11th,Hernandez High School,99,93
9195,Kristen Deleon,F,12th,Hernandez High School,99,69
9258,Nicholas Holland,M,10th,Hernandez High School,99,68
9297,Sheila Ray,F,11th,Hernandez High School,99,63
9374,Rachel Williams,F,9th,Hernandez High School,99,84
9393,Lori Parker,F,9th,Hernandez High School,99,81
9560,Margaret Hernandez,F,10th,Hernandez High School,99,64
9607,Chad Green,M,10th,Hernandez High School,99,92
9616,Melissa Delacruz,F,10th,Hernandez High School,99,96
9621,Danielle Thornton,F,10th,Hernandez High School,99,94
9622,Taylor May,F,12th,Hernandez High School,99,84
9668,Bryan Santiago,M,12th,Hernandez High School,99,79
9692,Adrienne Jimenez,F,10th,Hernandez High School,99,56
9777,Colleen Chavez,F,12th,Hernandez High School,99,78
9895,Julie Boyd,F,10th,Hernandez High School,99,69
9917,Jill Clark,F,12th,Hernandez High School,99,72
9961,Lisa Smith,F,10th,Hernandez High School,99,83
9974,Sandy Rodriguez,F,10th,Hernandez High School,99,91
10060,Nancy Hayes,F,11th,Hernandez High School,99,81
10095,Steven Lewis,M,9th,Hernandez High School,99,75
10125,Carol Perez,F,12th,Hernandez High School,99,78
10184,Julia Rojas,F,9th,Hernandez High School,99,98
10206,Kevin Guzman,M,12th,Hernandez High School,99,88
10228,Marilyn Tran,F,9th,Hernandez High School,99,65
10244,Gary Cooper,M,11th,Hernandez High School,99,85
10268,Charles Castillo,M,10th,Hernandez High School,99,74
10298,Jo Smith,F,12th,Hernandez High School,99,58
10371,Jamie Yates,M,12th,Hernandez High School,99,68
10401,Nathaniel Lee,M,9th,Hernandez High School,99,71
10416,Catherine Gonzalez,F,9th,Hernandez High School,99,86
10439,Andre Brown,M,9th,Hernandez High School,99,83
10464,Richard Fernandez,M,9th,Hernandez High School,99,60
10507,Wendy Smith,F,10th,Hernandez High School,99,96
10709,Wanda Hinton,F,9th,Hernandez High School,99,72
10740,James Rogers,M,10th,Hernandez High School,99,63
10778,Jennifer Ball,F,11th,Hernandez High School,99,66
10871,Tracy Diaz,F,9th,Hernandez High School,99,58
10892,Alex Donovan,M,11th,Hernandez High School,99,97
10952,Michael Webb,M,12th,Hernandez High School,99,77
10953,Matthew Allen,M,10th,Hernandez High School,99,83
10956,Joel Hernandez,M,12th,Hernandez High School,99,83
10989,Dawn Rush,F,10th,Hernandez High School,99,93
11030,Andre Wood,M,12th,Hernandez High School,99,93
11136,Felicia Reed,F,12th,Hernandez High School,99,57
11215,Nancy Singleton,F,11th,Hernandez High School,99,85
11239,Brett Mason,M,11th,Hernandez High School,99,61
11265,Benjamin Lee,M,9th,Hernandez High School,99,97
11295,Susan Mendoza,F,9th,Hernandez High School,99,56
11333,Ronald Harvey,M,11th,Hernandez High School,99,84
11402,Sarah Washington,F,10th,Hernandez High School,99,92
11481,Mark Fields,M,11th,Hernandez High School,99,94
11489,Ralph Brown,M,11th,Hernandez High School,99,99
11547,Christopher Griffin,M,12th,Hernandez High School,99,91
11711,Karen Garcia,F,9th,Hernandez High School,99,82
11735,Carolyn Chapman,F,12th,Hernandez High School,99,84
11741,Matthew Vaughan,M,9th,Hernandez High School,99,61
11761,Sandra Mcpherson,F,9th,Hernandez High School,99,63
11813,Philip Chavez,M,11th,Hernandez High School,99,66
11867,Paul Brennan,M,10th,Hernandez High School,99,99
11882,Stacy White,F,11th,Hernandez High School,99,87
11885,Laura Taylor,F,10th,Hernandez High School,99,98
11928,Lucas Hodge,M,12th,Hernandez High School,99,94
11970,Steven James,M,9th,Hernandez High School,99,57
11986,Amanda Burke,F,12th,Hernandez High School,99,86
12007,Mary Miller,F,9th,Hernandez High School,99,62
12012,Jennifer Erickson,F,11th,Hernandez High School,99,89
12016,Brooke Reeves,F,11th,Hernandez High School,99,72
12051,Joseph Jimenez,M,12th,Hernandez High School,99,74
12068,Sara Smith,F,12th,Hernandez High School,99,74
12118,Dr. Kevin Diaz,M,12th,Hernandez High School,99,61
12122,Timothy Garner,M,10th,Hernandez High School,99,95
12221,Daniel Smith,M,9th,Hernandez High School,99,92
12248,Omar Owen,M,11th,Hernandez High School,99,65
12291,Jasmine Roman,F,10th,Griffin High School,99,95
12311,Natalie Anderson,F,10th,Griffin High School,99,75
12363,Noah Santos,M,12th,Griffin High School,99,89
12370,Ronald White,M,12th,Griffin High School,99,83
12402,David Gomez,M,9th,Griffin High School,99,92
12408,Frederick Gaines,M,10th,Griffin High School,99,84
12463,Jonathan Johnson,M,11th,Griffin High School,99,89
12474,Ricky Buchanan,M,12th,Griffin High School,99,87
12481,Donna Jackson,F,9th,Griffin High School,99,92
12486,Andrew Roth,M,9th,Griffin High School,99,89
12500,Joshua Herrera,M,12th,Griffin High School,99,89
12534,Johnathan Greer,M,12th,Griffin High School,99,82
12548,Rachel Anderson,F,9th,Griffin High School,99,70
12573,Laura Davis,F,10th,Griffin High School,99,78
12581,Steve Michael,M,12th,Griffin High School,99,81
12626,Jack Schultz,M,9th,Griffin High School,99,68
12629,Raymond Webb,M,10th,Griffin High School,99,68
12638,Adam Wheeler,M,10th,Griffin High School,99,78
12689,Laura Manning,F,10th,Griffin High School,99,79
12690,Mark Hawkins,M,12th,Griffin High School,99,92
12700,Martha Blake,F,12th,Griffin High School,99,95
12708,Jessica Johnson,F,10th,Griffin High School,99,91
12843,Dr. Ryan Orozco DVM,M,12th,Griffin High School,99,89
12845,Jody Pearson,F,9th,Griffin High School,99,69
12865,Marc Harmon DDS,M,11th,Griffin High School,99,69
12866,Diane Barber,F,11th,Griffin High School,99,83
12880,Michael Martin,M,11th,Griffin High School,99,81
12902,Elizabeth Lewis,F,10th,Griffin High School,99,89
12919,Geoffrey Stewart,M,9th,Griffin High School,99,86
12961,Daniel Floyd,M,9th,Griffin High School,99,82
12996,Timothy Knight,M,10th,Griffin High School,99,91
13001,Patrick Silva,M,12th,Griffin High School,99,92
13054,Kaitlyn Bennett,F,11th,Griffin High School,99,81
13180,Jennifer Jackson,F,10th,Griffin High School,99,81
13224,Andrea Armstrong,F,10th,Griffin High School,99,83
13252,Jonathan Elliott,M,9th,Griffin High School,99,70
13280,Bradley Johnson,M,12th,Griffin High School,99,69
13308,Ryan Martinez,M,11th,Griffin High School,99,97
13359,Catherine Johnson,F,9th,Griffin High School,99,77
13430,Jillian Murphy,F,9th,Griffin High School,99,97
13456,Christopher Ortiz,M,9th,Griffin High School,99,70
13497,Shane Clark,M,10th,Griffin High School,99,99
13508,William Brown,M,9th,Griffin High School,99,79
13550,Ryan Sanchez,M,10th,Griffin High School,99,69
13554,Kelly Williams,F,9th,Griffin High School,99,99
13565,Michelle Pham,F,9th,Griffin High School,99,78
13598,Michael Rowe,M,11th,Griffin High School,99,97
13609,Diana Bartlett,F,12th,Griffin High School,99,70
13631,Laura Carlson,F,9th,Griffin High School,99,94
13674,Paul Leblanc,M,9th,Griffin High School,99,98
13694,Alexa Morris,F,9th,Griffin High School,99,75
13726,Sarah Shah,F,9th,Griffin High School,99,75
13816,Daniel Brown,M,11th,Wilson High School,99,80
13825,Howard James,M,12th,Wilson High School,99,98
13880,Stephen Velez,M,11th,Wilson High School,99,70
13907,Jonathan Fletcher,M,11th,Wilson High School,99,86
13995,David Reilly,M,12th,Wilson High School,99,95
14034,Lori Peters,F,11th,Wilson High School,99,89
14063,Victoria Morrow,F,12th,Wilson High School,99,78
14076,Robert Baker,M,9th,Wilson High School,99,87
14096,Sara Montgomery,F,11th,Wilson High School,99,73
14109,Margaret Smith,F,9th,Wilson High School,99,79
14126,Michael Alvarez,M,10th,Wilson High School,99,71
14159,Andrew Powell,M,12th,Wilson High School,99,83
14161,Timothy Rogers,M,10th,Wilson High School,99,78
14183,Stephen Mercado,M,10th,Wilson High School,99,82
14210,Mrs. Robin Hughes,F,11th,Wilson High School,99,88
14232,Kimberly Booth,F,10th,Wilson High School,99,82
14237,Donna Monroe,F,9th,Wilson High School,99,83
14265,Matthew Cooke,M,12th,Wilson High School,99,97
14268,Katherine Hicks,F,9th,Wilson High School,99,91
14383,Donald Johnson,M,10th,Wilson High School,99,71
14417,Danielle Wood,F,12th,Wilson High School,99,73
14431,Anna Cabrera,F,12th,Wilson High School,99,83
14438,Justin Benson,M,10th,Wilson High School,99,81
14439,Brittany Booth,F,12th,Wilson High School,99,85
14473,Maria Moreno,F,10th,Wilson High School,99,94
14488,Kevin Peters,M,12th,Wilson High School,99,96
14504,Travis Banks,M,9th,Wilson High School,99,81
14507,Cory Moody,M,11th,Wilson High School,99,94
14530,Alyssa Cross,F,12th,Wilson High School,99,68
14561,Michael Chavez,M,11th,Wilson High School,99,92
14635,Mitchell Levy,M,11th,Wilson High School,99,90
14651,Michael Greene,M,11th,Wilson High School,99,87
14669,Jennifer Williams,F,12th,Wilson High School,99,91
14719,Maria Solomon,F,10th,Wilson High School,99,76
14721,Jessica Cortez,F,11th,Wilson High School,99,94
14762,Travis Palmer,M,12th,Wilson High School,99,81
14784,Richard Jackson,M,11th,Wilson High School,99,80
14797,Laura Zimmerman,F,10th,Wilson High School,99,74
14828,Jonathan Harrison,M,9th,Wilson High School,99,80
14862,Debbie Bailey,F,11th,Wilson High School,99,93
14893,Molly Hunter,F,9th,Wilson High School,99,85
14918,Kenneth Washington,M,11th,Wilson High School,99,97
15008,Amanda Lang,F,11th,Wilson High School,99,80
15029,Stacy Hurst,F,9th,Wilson High School,99,68
15085,Justin Davis,M,11th,Wilson High School,99,97
15113,Nicole Pennington MD,F,10th,Wilson High School,99,85
15167,Jeffrey Flores,M,11th,Wilson High School,99,73
15174,Nicole Hanson,F,10th,Wilson High School,99,86
15181,David Watson,M,11th,Wilson High School,99,94
15195,Sarah Hanna,F,11th,Wilson High School,99,76
15210,Jennifer Baird,F,10th,Wilson High School,99,75
15232,Chelsea Coleman,F,10th,Wilson High School,99,73
15265,Vincent Browning,M,11th,Wilson High School,99,91
15267,Lisa Davis,F,10th,Wilson High School,99,75
15288,Stephanie Scott,F,12th,Wilson High School,99,72
15348,Chris Wilson,M,10th,Wilson High School,99,92
15357,Sharon Thomas,F,9th,Wilson High School,99,95
15358,David Rogers,M,11th,Wilson High School,99,97
15361,Joshua Casey,M,9th,Wilson High School,99,70
15410,Sharon Moody,F,9th,Wilson High School,99,69
15444,Brittany Walsh,F,11th,Wilson High School,99,83
15471,Michael Coleman,M,9th,Wilson High School,99,98
15492,John Cain,M,9th,Wilson High School,99,72
15512,Diane Smith,F,12th,Wilson High School,99,94
15527,Jon Robinson,M,9th,Wilson High School,99,77
15540,Sandra Foster,F,9th,Wilson High School,99,75
15544,Carolyn Garza,F,10th,Wilson High School,99,90
15606,Carrie Smith,F,11th,Wilson High School,99,85
15655,Cynthia Nicholson,F,12th,Wilson High School,99,85
15665,Michael Cervantes,M,9th,Wilson High School,99,71
15676,Mr. David Moss,M,10th,Wilson High School,99,94
15689,Elizabeth Cooper,F,11th,Wilson High School,99,69
15703,Crystal Perez,F,9th,Wilson High School,99,98
15708,Mr. Joseph Knight DDS,M,10th,Wilson High School,99,96
15808,Danielle Sanchez,F,10th,Wilson High School,99,85
15848,Deborah Li,F,10th,Wilson High School,99,96
15913,Cindy Rodriguez,F,9th,Wilson High School,99,91
15942,Ronald Erickson,M,11th,Wilson High School,99,89
15971,Angela Johnston,F,9th,Wilson High School,99,83
16020,Renee Randall,F,10th,Cabrera High School,99,70
16056,Kendra Chambers,F,9th,Cabrera High School,99,79
16070,Ashley Fleming,F,11th,Cabrera High School,99,78
16077,Darius Thomas,M,12th,Cabrera High School,99,90
16155,Robert Jones,M,12th,Cabrera High School,99,95
16233,Allison Wood,F,12th,Cabrera High School,99,84
16289,Kimberly Bowen,F,12th,Cabrera High School,99,85
16305,Julie Davis,F,12th,Cabrera High School,99,97
16318,David Holden,M,12th,Cabrera High School,99,94
16349,Angela Davidson,F,10th,Cabrera High School,99,68
16361,Joshua Dixon,M,10th,Cabrera High School,99,68
16396,Ryan Patrick,M,9th,Cabrera High School,99,80
16409,Deborah Moody,F,10th,Cabrera High School,99,77
16438,Deborah Mercado,F,12th,Cabrera High School,99,71
16498,Terry Reed,M,9th,Cabrera High School,99,90
16537,David Becker,M,9th,Cabrera High School,99,82
16567,Erik Barron,M,11th,Cabrera High School,99,98
16578,James Johnson,M,10th,Cabrera High School,99,95
16593,Heidi Grant,F,12th,Cabrera High School,99,85
16597,Andrew Meyer,M,11th,Cabrera High School,99,78
16598,Derek Martin,M,9th,Cabrera High School,99,97
16624,Roger Smith,M,12th,Cabrera High School,99,96
16672,Angel Morris,M,11th,Cabrera High School,99,96
